№,Секунда,Микросекунда
1,29,172243
2,29,183220
3,29,193922
4,29,204238
5,29,214418
6,29,224621
7,29,234696
8,29,245691
9,29,255764
10,29,265885
11,29,276868
12,29,286985
13,29,297641
14,29,308720
15,29,319688
16,29,330660
17,29,341193
18,29,351642
19,29,361952
20,29,372020
21,29,382959
22,29,392993
23,29,403963
24,29,414757
25,29,425728
26,29,436698
27,29,447210
28,29,457721
29,29,467914
30,29,478021
31,29,489011
32,29,499984
33,29,510947
34,29,521922
35,29,532897
36,29,543873
37,29,554844
38,29,564872
39,29,575845
40,29,585902
41,29,596422
42,29,606890
43,29,617201
44,29,627482
45,29,637965
46,29,648948
47,29,659198
48,29,669908
49,29,680879
50,29,691868
51,29,702195
52,29,713187
53,29,724203
54,29,735300
55,29,746214
56,29,757187
57,29,768074
58,29,778888
59,29,789909
60,29,800923
61,29,811788
62,29,821870
63,29,832856
64,29,843831
65,29,854211
66,29,864947
67,29,874975
68,29,885198
69,29,896169
70,29,907170
71,29,917815
72,29,928312
73,29,938810
74,29,949788
75,29,960754
76,29,971190
77,29,982160
78,29,993188
79,30,4158
80,30,15150
81,30,25879
82,30,36873
83,30,46996
84,30,57387
85,30,67874
86,30,78938
87,30,89936
88,30,100045
89,30,110996
90,30,121975
91,30,132095
92,30,143095
93,30,153322
94,30,163493
95,30,173648
96,30,183945
97,30,194992
98,30,205233
99,30,215409
100,30,226247
101,30,237286
102,30,247833
103,30,258858
104,30,268944
105,30,279885
106,30,290345
107,30,300865
108,30,310937
109,30,321948
110,30,332081
111,30,342942
112,30,353914
113,30,364755
114,30,374834
115,30,385501
116,30,395926
117,30,406863
118,30,417462
119,30,427647
120,30,437914
121,30,448916
122,30,459872
123,30,470003
124,30,480996
125,30,491219
126,30,501446
127,30,512475
128,30,522657
129,30,533666
130,30,544148
131,30,554257
132,30,565227
133,30,575382
134,30,585563
135,30,595690
136,30,605782
137,30,616002
138,30,626260
139,30,636389
140,30,647222
141,30,657904
142,30,668376
143,30,679360
144,30,689460
145,30,699602
146,30,709968
147,30,720064
148,30,730213
149,30,740880
150,30,751888
151,30,762877
152,30,773878
153,30,783997
154,30,794019
155,30,804052
156,30,814141
157,30,824225
158,30,835326
159,30,845495
160,30,855680
161,30,865796
162,30,875906
163,30,886156
164,30,896888
165,30,907072
166,30,917541
167,30,927955
168,30,939097
169,30,949887
170,30,960071
171,30,970248
172,30,980406
173,30,990506
174,31,665
175,31,10893
176,31,21077
177,31,32205
178,31,42319
179,31,52417
180,31,62539
181,31,73585
182,31,84555
183,31,94697
184,31,104752
185,31,115280
186,31,126062
187,31,137177
188,31,147268
189,31,157644
190,31,167953
191,31,178038
192,31,188107
193,31,198543
194,31,208847
195,31,218929
196,31,229063
197,31,240075
198,31,250333
199,31,260417
200,31,270509
201,31,281601
202,31,291760
203,31,302583
204,31,313111
205,31,323565
206,31,334065
207,31,344677
208,31,355727
209,31,366705
210,31,377626
211,31,387870
212,31,398393
213,31,408608
214,31,418907
215,31,429112
216,31,440054
217,31,450784
218,31,460847
219,31,471008
220,31,482106
221,31,492181
222,31,502266
223,31,512464
224,31,522643
225,31,532811
226,31,542955
227,31,553955
228,31,564091
229,31,575085
230,31,585258
231,31,596248
232,31,606313
233,31,616479
234,31,626629
235,31,636762
236,31,647629
237,31,657797
238,31,667901
239,31,678018
240,31,688127
241,31,698276
242,31,709168
243,31,720142
244,31,730302
245,31,741272
246,31,751721
247,31,762102
248,31,773099
249,31,783421
250,31,793678
251,31,804352
252,31,815323
253,31,826293
254,31,836621
255,31,846820
256,31,857074
257,31,867617
258,31,878093
259,31,889090
260,31,899173
261,31,910126
262,31,921125
263,31,931808
264,31,942073
265,31,953011
266,31,964048
267,31,975022
268,31,985272
269,31,995449
270,32,5547
271,32,15679
272,32,25813
273,32,35951
274,32,46094
275,32,56333
276,32,67289
277,32,77685
278,32,88027
279,32,98736
280,32,109706
281,32,119872
282,32,129955
283,32,140182
284,32,150895
285,32,161009
286,32,172110
287,32,183030
288,32,194008
289,32,204980
290,32,216087
291,32,226231
292,32,237248
293,32,247748
294,32,258190
295,32,268277
296,32,278449
297,32,288542
298,32,298644
299,32,308823
300,32,319332
